y_true,y_pred,y_prob
0,0,0.007653156761080027
0,0,2.19985049625393e-05
1,1,0.955928385257721
0,0,0.009237140417098999
0,0,0.3134073317050934
0,0,0.01224251464009285
0,0,0.0052171326242387295
0,0,0.04141572490334511
0,0,0.07231175899505615
0,0,4.7711804654682055e-05
0,0,4.771225940203294e-05
0,0,0.0002166278864024207
0,0,0.0012736462522298098
0,0,0.005855628754943609
0,0,0.00023065050481818616
1,1,0.951073169708252
0,0,4.7712394007248804e-05
1,1,0.7179863452911377
0,0,0.00018702207307796925
0,0,4.771298699779436e-05
0,0,0.029536383226513863
0,0,1.697149855317548e-05
0,0,0.0002103615115629509
0,0,1.6792584574432112e-05
0,0,4.771207386511378e-05
0,0,0.0006579664768651128
1,1,0.7724589109420776
0,0,0.022985564544796944
0,0,0.3875546455383301
0,0,0.0015518899308517575
0,0,4.771207386511378e-05
0,0,0.002282120054587722
1,1,0.9546714425086975
0,0,0.00022067302779760212
0,0,0.0003074873238801956
0,0,0.0012834453955292702
